ext_name,ext_publisher,verified,repository
Invoke (Python Task Executor),David Chancogne,False,
AJAX Query,Balasubramanian,False,
Dreamweaver Web Theme,Persephona,False,
c-cpp-compile-run-windows,BDZNH,False,
nRF Connect for VS Code Extension Pack,Nordic Semiconductor,True,
select highlight in minimap,fozzeuh,False,
WaveTrace,wavetrace,False,
gdscript,jjkim,False,
fivem-esx-snippets,ethereal,False,
sfdx-cli,James Boggs,False,
Micro Focus COBOL,OpenText (previously Micro Focus),True,
Sencha Ext JS,Sencha,False,
MV# Debugger,ongroup,False,
CircleCI,CircleCI,True,
C/C++test,Parasoft ,False,
Toggle,Peng Lv,False,
Importmagic,codeavecjonathan,False,
env-vscode,Bernard Xiong,False,
robotframework,Ville M. Vainio,False,
python traceback jumper,林玮,False,
Pawn Scripting Language Support,Diego Cea,False,
tpl Lang,qiqigou,False,
cpp-pack,JewsOfHazard,False,
Visualforce,JohnAaronNelson,False,
Platzi Theme | Tema de Platzi,Codevars,False,
RouterOS Syntax Highlighting,Cristián Pérez,False,
vscode-plugin-billionbottle,gcc,False,
Dark hacker theme,Magson,False,
vscode-ts-uml,myxvisual,False,
Brackets Light,ullissescastro,False,
merko's green theme,merko,False,
VCL - Varnish Configuration Language,Thomas Baumgärtner,False,
Monokai Light,Velichko Konstantin,False,
HTML (Mason),Valerii Iatsko,False,
run code,eto,False,
DAX for Power BI,jianfajun,False,
ES6 Import Formatter,Henry Li,False,
Character Count,Adam Stevenson,False,
Canvas,cubewise,False,
RT-Thread MicroPython,RT-Thread,False,
Mapfile Syntax,chicoff,False,
Discord Theme,tanmay,False,
Seti-theme,TsumiNa,False,
Qiita,Increments,False,
Yog PlantUML Highlight,Yog,False,
Weixin Read,goobyter,False,
ServiceNow® Extension for VS Code,ServiceNow,False,
final-newline,Sam Verschueren,False,
Cordova-Dev-Essentials,JewsOfHazard,False,
Text,HungVo,False,
iOS Common Files,Orta,False,
HTML-LESS-Class-Completion ,wangkechun,False,
Coderslang,Coderslang: Become a Software Engineer,False,
Cocos Debug,CT,False,
ruby-on-rails-snippets,Atef Haque,False,
toggle semicolon,awesomektvn,False,
px-to-vw,朝江,False,
MQL-syntax-over-cpp,nicholishen,False,
Clock,Angelo Breuer,False,
Blink-FS,Blink Shell Inc,True,
Gmod Lua,Acidic,False,
Code Issue Manager: document & fix issues in your codebase,Stepsize,True,
File Template,ralfz,False,
hugofy,akmittal,False,
Mariana,JR Tools,False,
Jo's Light Theme,Ivan Zusko,False,
Ember Cli in Visual Studio Code,Ember Tooling,False,
Visual Studio Blue Theme,Danijel Malinovic,False,
TIFF Preview,Analytic Signal Limited,True,
Pluralsight,Pluralsight,False,
"Safurai - AI Assistant for Javascript, Python, Typescript & more",Safurai,True,
Atom Pro Theme,CodeAlb,False,
bibtexLanguage,phr0s,False,
console-log,Vitaly Domnikov,False,
vscode-purescript-emmet,spacethimble,False,
Visual Studio Light Theme,Simone Olivieri,False,
laravel-5-snippets,Atef Haque,False,
Vitality,Luca Fedrizzi,False,
JSON Transform,Pine Wu,False,
Caché Relationship Creator,SwifMobi,False,
Node Version,fivepointseven,False,
stylish-haskell,Daniel Vigovszky,False,
"Scanner.js: JavaScript Scan in Chrome, IE Browsers to C# VB ASP.NET Web TWAIN WIA Scanner",Asprise Scan OCR,False,
vscode-elixir-formatter,Kok J Sam,False,
Ember Language Server,Ember Tooling,False,
Image To Base64,FEZIRO,False,
Python Virtual Environment Creator,Carsten Engelke,False,
jquery script code,Sharif Jameel,False,
mjml-syntax,digitalstreamio,False,
example,sortega,False,
Starbound JSON File Syntax,KyleeTehKitty,False,
git start-bash,huazaierli,False,
Assembly 8086 (TASM),Roncho,False,
Prettier ESLint TypeScript Formatter,Harrison Smith,False,
TortoiseSVN Helper,Zlorn,False,
changeEncode,auto change gbk,False,
Matrix-Theme,Marcelino Jorge Romero,False,
EditorConfigGenerator,nepaul,False,
Nodejs Snippets,piyushvscode,False,
SNMP MIB,Veracosta,False,
Android Full Support,Antony,False,
wepy snippets,wleven,False,
DesertEx,casualjim,False,
Web Browser,masonicboom,False,
Sujeito Programador React Native / React JS,Sujeitoprogramador,False,
Entitas unused components finder,Arin,False,
Yaml Preview,daiwata,False,
cpp-snippets,Abhinav Gauniyal,False,
Bootstrap5 Snippet,Shrikant,False,
Lua linter,Nikita Bredikhin,False,
AVR Support,rockcat,False,
Darkula,alex-pex,False,
111-unity-csharp-extensionpack,pencilbow,False,
STM32 VS Code Extension,STMicroelectronics,True,
Mac Classic VS Code Theme,Andrea D.,False,
Pastel-Pixels,Gage,False,
Flexbox Picker,Rax Team,False,
.NET MAUI,Microsoft,True,
scss-scan,aaronphy,False,
Robotframework Debugger,JacobPhilip,False,
TCC compile/run,TuyMove,False,
鲲鹏云研发工具箱,cloud-ide,False,
Tizen Extension,Tizen,False,
JetBrains IDEA Icons,Mostik,False,
Yarn Installer,teevik,False,
Kolo for Django (Beta),Kolo,True,
Retro Assembler,Engine Designs,False,
glua,aSonedPenguin,False,
Rust Snippets,Zakary Kamal Ismail,False,
Swig,zhutian,False,
MSBuild Tools,Qub,False,
Synopsys Code Sight,Synopsys Inc.,False,
Visual Studio 2019 Theme,kast789,False,
React Native styled component Snippets,milobo,False,
Add Local .Net Reference,hex,False,
Security IntelliSense,Microsoft,True,
Plotly Express Snippets,Analytic Signal Limited,True,
tfcomplete,afpro,False,
Bootstrap 5 and jQuery CDN Snippets,Squaretron,False,
vsc-rustfmt,Connorcpu,False,
codecpp-full,doddzycodes,False,
openChrome,huazaierli,False,
Tech Debt Metrics,Stepsize,True,
EaseServer,milkmidi,False,
AngularJS Component Generator,Oleksandr Hutsulyak,False,
Mariana Nord,LuisGalicia,False,
Naruto Shippuden Themes,Jerold Lozares,False,
Android XML Editor,TotalCross,False,
Meson build.,Mrmomo,False,
ctags,"Heecheol,Yang",False,
FlutterBricks,SideGuide,False,
blox,vsblox,True,
Ruby Haml Colorization,Drew Cain,False,
Harmonic16 light Theme,cotto,False,
Node Security Project (nsp),Adam Baldwin,False,
Drupal-7-Snippets,Junior Mucciolo,False,
Modified Seti Theme,Tarique Naseem,False,
Docify AI - Docstring & comment writer,AIC,True,
API Blueprint Language,Jarga,False,
Search Docsets,Silverlake Software LLC,False,
rails-latest-migration,tmikoss,False,
nativeEmmet,Saugat Maharjan,False,
Verilog-HDL Language Support,kitkat,False,
Oracle JET Core,Oracle Corporation,False,
Node modules navigation,gegeke,False,
Dataflex Colorize,Alisson Rodrigues,False,
encdetect jp,inoueben,False,
jquery snippets,Abhi Patel,False,
File Templates for VSCode,Venkatesh Boddu,False,
java Test,JavaTest,False,
css snippet,Priyank Patel,False,
sqlalchemy-schema,xwbxn,False,
mindmap for souche,Souche,False,
Dark Theme,cyberbizkit,False,
