ext_name,ext_publisher,verified,repository
quickDataStructures,Tommy,False,
amberJS-Mac,amber-link,False,
ReDark,42byte,False,
Time Inserter,mario-mra,False,
extension_sample,hiro-sun,False,
ShowEOL,oonsnnsk,False,
lighting,light,False,
Object Key Viewer,Bethany Shore,False,
Print Preview,ByteDance Global E-Commerce SupplyChain Front-End Team,False,
Dark+ Optimized Status Bar,Bernardo Reis,False,
Angular Developer Extension,korczynsk1,False,
CMX Developer Extension,CMX,False,
SCS Cypress Helper,NooThaiThinh,False,
auto comment,op-chen,False,
Anypoint Code Builder - Integration Extension,Salesforce,True,
Revisionmarks,yuhuagou,False,
BariNos Tools - XML Snippet,Bari,False,
Run By Typing,Alex Thompson,False,
js-annotation,王金林,False,
View Http File,Loyie King,False,
Learn X in Y minutes,wk-j,False,
Greenlittlefa,littlefa,False,
dspy,dspy,False,
Green Water Color Theme,Green-Water-Theme,False,
GitHub 4 Visual Studio,Developer Skull,False,
eyes-theme,码路芽子,False,
OLED-Black,explodeo,False,
vscode-ins-support,wk-j,False,
TooDark-AM,glade-software,False,
css completions provider,abc,False,
Syncfusion Vue UI Extension,prakashk,False,
CSS reset,Kifzuka,False,
Flave,varubi,False,
node1729_colors,node1729,False,
RegexAssembler,shyne,False,
SourcePawn,Cayde Dixon,False,
md2urdu,Vivek Anand Sharma,False,
MoreCross Tools,MoreCross,False,
Snippets Assist PHP,PT. Assist Software Indonesia Pratama,False,
Link4MD,wangeleile,False,
asm boilerPlate,oshri,False,
Material Theme Static,Nisgrak,False,
Anypoint Code Builder - API Extension,Salesforce,True,
JS Bundle,baqardo,False,
CodeLink,CodeLingo,False,
SICK AppSpace Device Connectivity,SICK AG,True,
Write Extension Pack,joyous-coder,False,
hytest,byhy,False,
csg-epm,csg-epm,False,
JarvisDarkTheme,Armando Chaparro,False,
快捷键添加文本,NathanJ,False,
Markdown Preview,justwe9517,False,
rn-less-helper,blackmiaool,False,
soldoc,NicoVergauwen,False,
Extensões Fábrica,FSW,False,
Json Serializable Snippet,CodeCity,False,
code,lixinyu,False,
sharp,Nick Cruz,False,
Vapor,SushyDev,False,
Dota KV & JSON generator,leviktimes,False,
pcms-vscode,夏娃同学,False,
Matte Black,Nishil,False,
quick_filter,taiki,False,
rn-snippets,Teamneheart,False,
java wzer,pink dark theme,False,
ria css autocomplete vscode,tiger-hswx,False,
VimTer,Matthias Schwarze,False,
Tenable.cs,Accurics Inc.,False,
Pageman,Pouya Kary,True,
mtml,wyc,False,
Anypoint Code Builder - APIkit Extension,Salesforce,True,
Apex Log Booster,EgorDevProjects,False,
Kretes,kretes,False,
Arendelle,Pouya Kary,True,
StereokaiDark,kotarac,False,
fx-devtools,fxiaoke,False,
phpextbasic,Isaac Dalli,False,
siemens840d,SScipione,False,
Link Icon,Linklogis FE,False,
VSArcade,Eric-Huang,False,
sudoku,Iris-Mei,False,
Geeks.Cinema.ms,tommydevelopernet,False,
css-tailwind,xin-css-tailwind,False,
GPT Developer,AlexisAndradeDev,False,
classdiagram-ts,Shen Z,False,
inspired-by-github,Ahmad Samiei,False,
Ableton Live Theme,Tristan Muller,False,
katex-block-center,solitarysoap,False,
vscode-auto-code,wk-99,False,
ExpressServerSnippets,joeyscript,False,
vscode-prefix-log,zhangleilei,False,
vue-development,Dias Bakahbay,False,
remember 2 git,patnym,False,
Barbie Dark Theme,mo0on,False,
DarkStar,DarkStar,False,
Kobiton ADB Tunnel,Kobiton,False,
hrbasic,HyundaiRobotics,False,
Huawei Cloud ModelBox DevKit,Huawei Cloud,False,
ax-reg-collect,llhe,False,
RCoS+ SDK,RCoS SDK Development Team,False,
skCode,DevOps Sankhya,False,
ISO Theme,Uniquite,False,
Bean,nmodnation,False,
why-in-the-git,Pascal Hertleif,False,
Graal Cloud Native Tools,Oracle Labs,True,
csshelper,tangxuelei,False,
Atom One Real Dark (With status bar),Bernardo Reis,False,
Reactjs Extension Pack,joyous-coder,False,
Synapse Execute,HazeMist,False,
relim,Janry,False,
Obsidian Minimal,rudrigu,False,
Dev Pack ccarb,ccarb,False,
clorem,Echo Chen,False,
Java Extension Pack by Asteroid,Asteroid Softwares,False,
eyegood,eyegood,False,
cppcmake,ezcy,False,
Mono Next,MonoNext,False,
MonokaiDimmed:Leo,my packages,False,
Peachy,Beamaia,False,
Tea Language,AWTrost,False,
BST FAD Studio,BST,False,
javascript console utils MSD,Mayank Shaan Dhania,False,
QS-Plugin,Shinn,False,
EliteScript_JBI,Elite,False,
Nilesoft Shell File Formatter,code-nature,False,
Pirate Ipsum paragraph insertion,Tali Escher,False,
my-forms-acceptance-tests,AcceptanceTests,False,
Legally Blind,bigboi,False,
TDL/TEL Editor,AIMTEC a. s.,False,
Visual Studio Code Consulting Tools,Adequasys,False,
Lessipe 쿡북,lessipe,False,
New React Native Typescript Component,Fudge,False,
Generate Angular page,Mahdi Abdolvahab,False,
vs-code-server,Labelo,False,
react folder,IdanLazar,False,
dark-bqueiroz,dark-bqueiroz,False,
Midnight Dusk,Ferosh,False,
Angular 2 Coding Made Easy,Shiva Nayak Dharavath,False,
Quick Theme Flip,JewsOfHazard,False,
Fasto,Matias K,False,
booklike,mervyn,False,
Theme-Dark with Red,Vanortton1001,False,
Miniprogram,rocksandy,False,
fastApiEnvironment,Gautam Sagar Mallela,False,
PR Snippets,Prahlad Inala,False,
firewatch,gmtstephane,False,
TubsterDark,stoikerty,False,
Modbus PLC,nuannuand,False,
Fast console,thallis-andre1,False,
Torizon IDE Extension (ApolloX),Toradex,False,
BASE,MoonMoves,False,
anyup-uniui-snippet,anyup,False,
RustSnippets,GrayJack,False,
VT Angular HTML Snippets,Vertech',False,
Lens Studio,Snap Inc.,True,
SA Developer Tools,Aaron Swingler,False,
beSunflower-theme,Hashirama Naiff,False,
狐狸按键大师,dbgtech,False,
FE Doctor,ued-team,False,
n,johnyjohn,False,
OCI DevOps Tools,Oracle Labs,True,
MC Hex Converter,Boomber,False,
w-nuxt-snippets,xuan wang,False,
VIMGAS Alpha,VIMGAS,False,
ForestAtNight,MashukeAlamJim,False,
reitheme,microwavewe,False,
Webstorm Undo Style,caizhenccc,False,
Active Release Techniques Meteor React VSCode Extension Pack,Active Release Techniques,False,
Monokong,iosuck,False,
lit-element-generator,albertopumar,False,
D2T Colorful Theme,dthanhtoan,False,
Application Manager,careteen,False,
font-spider,zdldove,False,
It Works! Angular Essentials,It Works,False,
Auto Engage UI Tag,guojingkang,False,
Stacker,Ata Kaboudi,False,
Default Theme,DEMO,False,
better-dark,Stefan,False,
Tinctorius Color Theme,Tinctorius Color Theme,False,
Scaffolder,uriSecfi,False,
General Assembly Hightlighter,Vicent Baeza,False,
TorizonCore Builder,Toradex,False,
Verilog & Systemverilog 悬停和跳转,sheldon,False,
Byo Bios Insertion Guid,Byo BIOS,False,
Hallows' Eve,Invilis,False,
Coco VS Code Integration,The Qt Company Ltd.,False,
formatting pyramid,motti4432,False,
React Image Importer,Farhan Hossen,False,
MgPack-ReactJs,mgpack,False,
vue-helper,tiantian,False,
CodeWiz Dark Pro,Mohammed Farmaan,False,
marci-theme,Marci Ribeiro,False,
zvue-h5-plugin,cielkong,False,
亿米科技 TypeScript & Html 代码片段,亿米科技,False,
Coding Theme,Rajeswaran,False,
Chill-code,Cyriac du Chatenet,False,
venturplex-ngrx,vicav99,False,
Cocos Creator Devtools,Cocos Creator Devtools,False,
sdf-dev-tool,sushi,False,
Change Python Path,Quantex,False,
color-replace-sass,color-replace-scss,False,
Kestrel Assembly,Kartik Prabhu,False,
GoPackageOpen,quexianwei2,False,
CyFormatter,zhouyu,False,
Code Valet,Sophodoros,False,
Squid Syntax,SpeedProxies,False,
DuckyScript for Codium,ibijon,False,
fastapi-next-snippets,kocyigitkim,False,
background-image,QuentinBubu,False,
Git branch delete kit,pavlelee,False,
Autofill_extensions,rahulor,False,
Afterglow-ReInacted-II,doodu,False,
Clear Terminal,markfobert,False,
Bulma Snippets,Afshin Tavakolian,False,
Richa's SCSS Snippets,Richa Avasthi,False,
Atlantis,Noire Technology,False,
markdown-it-zenkaku-indent,ccnxpt,False,
Ruie Dark,Ruie,False,
Brightspot Handlebars Snippets,Perfect Sense,False,
Green Goblin,Ihor Kolodii,False,
Stacktrace,Stacktrace,False,
explorer-context-menu-command,Etienne Dldc,False,
Atom One Dark Modified Theme,crust,False,
RSL,Sergey Vesselovskiy,False,
NitscheDev's Dark Pro,NitscheDev,False,
选词翻译,duckgaga,False,
IAScript,InvenireAudeAdmin,False,
Google Fonts extension,Mrudul Kolambe,False,
Midnight Purple,Sreedhar Santhosh,False,
Locus,Elan,False,
Byo Bios Build,Byo BIOS,False,
PestGPT: ChatGPT Test Generator for Laravel,Shree Ruparel,False,
FreeRaduis unlang,Heggi,False,
ssz-egg,vongola,False,
Developer React Extension,Eliel Mendoza,False,
py_run_constructor,katzen-j,False,
Highlighter Contrast Dark,David Letaw,False,
DCM,dcm.dev,False,
wt-snippets,wt8800,False,
Zee PHP Extension Pack Extended,Buddhika,False,
GoDriveSync,blinderjay,False,
TinyPNG-Pro,zhukunpeng,False,
test,Rachit Thukral,False,
notflask's theme,Daniel Flask,False,
salesforce_snippets,Gaurav Kashyap,False,
Tolmak Gray Light Theme,alexeytolmak1,False,
txt-novel-format,cpfree,False,
toggle hover,Roy Action,False,
UnitTestAI,Paterson Anaccius,True,
bs4snips,Brian Ho,False,
cap-code,narupo,False,
Machinet: ChatGPT,Machinet inc.,False,
快手小程序开发工具,快手小程序开发工具,False,
Vibey Theme,Fusion Terror,False,
vscode-ruff,Qinghao,False,
SummerCopilot,titusTong,False,
vscode-ali-oss,kummy,False,
Dart Copy Helper,SSBun,False,
EOSIO,SMH,False,
snippet-factory,fanghaydn,False,
One Dark Plus,Squaretron,False,
Deon Digital CSL,deondigital,False,
BUCT OJ平台插件,BuctOJ,False,
Matt's JS Development Extensions,Matt Holland,False,
UTF-Converter,Zachary-Ratliff,False,
TMNT Dark,Kenny G Scott,False,
ICM-PRO,markzaretskiy,False,
TextWrapper,Viavario,False,
White Shade,Silas Chen,False,
doraemon-module,doraemon,False,
make-python-class,Só os Falsos LTDA,False,
Symfony Extension Pack,WhyW0rry,False,
Cocos Creator 组件查询,nathancode,False,
fat-json,anthhub,False,
Netuno,Doug Bichir,False,
saatsazov-vuejs-pack,saatsazov,False,
Black Back Dark E-Theme,Eray,False,
elara-pastebin,Elara-Discord-Bots,False,
Byo Insertion Note,Byo BIOS,False,
Workspaces,anyscalecompute,False,
software-translation-tool,LDS,False,
light-green-color-theme.json,oedreyer,False,
Designr,Yantrio,False,
Vuesual,Kaan KÜÇÜK,False,
theme-xp-javascript-theme,Theme-xp-javascript-dark,False,
Touch Files,Ben Roesch,False,
Angular Modules Generator,wills0n,False,
Commands,fillefilip8,False,
monopastel,PaperFanz,False,
rainbow-snippets,rainbow-snippets,False,
hash-generator,Oliver,False,
RegSys Form Designer,Enterprise Registry Solutions Limited,False,
eLang,eLang,False,
pocketmine-plugin-support,izyan,False,
vscode-efficiency-viewer,Marc Cilliers,False,
Sigma16 Syntax Highlight,Murphy,False,
inno-moduleflow,keonholee,False,
HTML Project Template,Ariel Benesh,False,
vscode-mir-language-xlsx,try,False,
Misty Blue,Yashwanth Byalla,False,
Slush & Poppies,lanthaler,False,
yield,Anuj Shankar,False,
Red n black,xynny,False,
OX Security,ox.security,False,
Default Light+ with light activity bar,Yunhi07,False,
js-self-methods,detanx,False,
Export Your Extensions,Bhargav Detroja,False,
Roblox Execute,Spoorloos,False,
Update,ZColorTheme,False,
Alibaba Cloud Toolkit,Alibaba-CloudToolkit,False,
Caribean Ocean,nelrafa103,False,
typo,ding-shiba,False,
quickCode,yunikmaha,False,
tsunami-code,Andy Moreland,False,
CubeTheme,David,False,
BaiwangBFF,lijunliang,False,
Seek Snippets,windyge,False,
orsenkucher-theme,Orsen Kucher,False,
Typing Stats,Tesoro,False,
purple-galaxy-theme,kiro-tagama,False,
vscode-run-command,twstddev,False,
Reflow,Reflow,True,
JK Themes,Jhonny Kyuorhan,False,
Vue Dev12 Extension Pack,Jadilson Guedes,False,
SICK AppSpace Programmable Core,SICK AG,True,
Markdown Collapsible,catonif,False,
PyStatic,JansonSong,False,
LWC Test Creator,Max Goldfarb,False,
live-fes-tools,momo,False,
UR# Language for VSCode,Yuuki Wesp,False,
compose-style,magic-rui,False,
NSDLIB-MML,hallyvorc,False,
Sass.ms,hlmnd,False,
百度小程序开发助手,swan-mini,False,
chef plugin,linside,False,
The Big Crunch Grid Editor Plugin,The Big Crunch Grid Editor Plugin,False,
InferSharp,matthew-jin,False,
Yassnippet,Mads Hartmann,False,
CFWheels,chapmandu,False,
Pure theme,in3nsec,False,
DarkBintCode,Murriouz,False,
C# Learning,Show Project,False,
"Icy Kiss, Icy Kiss Light & Deep Jungle Theme",Stephan Loibl,False,
Alt's Theme,Ali Rahman,False,
VS Notes,Armando Chaparro,False,
SFDC ExtPack,DANIEL PERRELLA,False,
stand up 🏃 🚴,standup,False,
EFML,ClassicOldSong,False,
Search file from selection,Syed Aqeel,False,
hello vue3,xhrbtk,False,
VideoHint,matrix_lead,False,
Snippets C#,Fabio Pereira dos Santos,False,
LaTeX Viewer,Saptarshi Dey,False,
Api Manager,ued-team,False,
Py Module Path,yejiabo,False,
AVC LaTeX Dark,AVC LaTeX Dark,False,
Cloudio React,CloudIO-React,False,
SerializeField Snippet,flgmwt,False,
CodeChef Integeration,Deepesh Choudhary,False,
啵啵助写,itc-edito,False,
Divalto Studio,Divalto,False,
SPWN snippets,Eldyj,False,
SICK AppSpace Lua Language Server,SICK AG,True,
Modern Theme,Naman Sancheti,False,
Code to Comments,VS-code-cloud,False,
mir2,mir2,False,
lzgit,jlalmes,False,
CQL Syntax Highlighting,Kvag,False,
Reqtify Traceability,Dassault Systèmes,False,
Teamix,aisc,False,
GamberettiTheme,Parrot Studios,False,
Neon-Black,Ethan04,False,
deluxious,DELUUXE,False,
frame,Akash K,False,
CSS-Extension-Pack,Polo Chan,False,
DB84 dark,dbjohnson84,False,
wut,entrocode,False,
ED Extension Pack: Python,Elladorian Design,False,
mlyz eyes theme,码路芽子,False,
iconfont2flutter,kuroko,False,
Create React Functional Component,Samuel Cheung,False,
Kumux Theme,Kumux,False,
BackendFunction,AFI,False,
vscode-boilerplate,mantou,False,
2H Jump Definition,zephyrjs,False,
mg-pack-reactjs,Fernando,False,
Mr Robot Dark Theme,João Victor do Nascimento,False,
Nextflow's .NET Extension Pack,Teerasej Jiraphatchandej,False,
cool blue code,Ken Ramiscal,False,
zd-tmpl,mn-fe,False,
BASM,Survari Remur,False,
Dark Mono,leonardoleal202,False,
InsightSDK_Lua_API,Netease,False,
Lavender,penrodlol,False,
Enhanced Material Colorful Theme,Gregory Becker,False,
Skeletor,TBVanderleyStudios,False,
SICK AppSpace UI-Builder,SICK AG,True,
eyes-love-theme,码路芽子,False,
yo_tag,Fabian Quintanilla,False,
Fruitmash,Karol Łacina,False,
VSCode DarkGreen,JaviertINC,False,
GEA Build Tools,gea-embedded,False,
Adventure Writing System Syntax Highlighter,Chris Ainsley,False,
Broadcom QPU Assembly Language (QASM),Adam Wallner,False,
Byo Bios Development,Byo BIOS,False,
WebDevelopment Extension,lMwenda,False,
Palenight_DMG,vsce publish -p kd53nqdvfdhpf6ficb376nu5stsh4fxyw7susp5vn3gjzivf7nmq,False,
F2 Preview,cBrain F2,False,
Properties converter: Keil 2 Code,Daniel Sebik,False,
YoRHa Theme,Ayman Sahyoun,False,
Guild AI,Guild AI,False,
Ayu Theme Fork,Ivan Tsybko,False,
Bright Star,RithikDev,False,
testing,pranayaryal,False,
install-extensions,t-codespaces,False,
Simple Character Counter,demoExtension,False,
Intel Themes,Intel Themes,False,
shark-extension,yangbo,False,
Intersky Cloud Development Tools,Intersky,False,
Solarized Hello,huge,False,
wm-vscode-help,wchrt,False,
Tickit Preview,Tickit Health,False,
Monogray Theme,milogosnell,False,
Gambit,Gambit,False,
layaui-generate,chy1696197,False,
React Native Code Generator,Shiv Mohan Singh,False,
SCLens,luoqiaoyou,False,
FlapLint,sunyandong,False,
StringSplitter,Innovative Creations Ltd,False,
AMPL,Andrei Bastos,False,
VYPcode,Ondřej Krejčí,False,
1337 header,amersoul,False,
Javascript Extension Pack,joyous-coder,False,
Devops Highlighter,InSpark,False,
Easytrieve Language Support,Broadcom,True,
Atom theme,xynny,False,
Blue theme,xynny,False,
dnspy like theme,CN-MJT44,False,
Excelerator,CodeExcelerator,False,
Breeze,xeronic,False,
bett3r icons,Lucas,False,
Wren,Rohansi,False,
Capo-Dark-v2,andreislim,False,
genscript,Nicola Zanardi,False,
Neogenesis theme,Neogenesis,False,
OpenWith,j-martin,False,
C/C++ Support Code Snippets,lkamod,False,
GenerApex,Synebo LLC,False,
TerminalAutoShow,Snowlie,False,
TPT Project Format Extension,PikeTec GmbH,False,
d365-uploader,Tim Bardenhagen,False,
Nucleus DevTools,nucleus,False,
Office Script Extension,office-script,False,
supOS-vscode-editor,Quincy.Li,False,
Intuit Design System,Intuit,False,
LowTheme,CleyssonDias,False,
fmz-plugin,FMZ,False,
Crud-codeigniter4-blipeda,blipeda,False,
nodejs-snippets,Amogh,False,
connect,test1,False,
HMMM,HMC CS (BW),False,
default dark++,zelda1,False,
neo,Eduard Munkhart,False,
Vibrant Alps,Marcel Bührig,False,
JD Pack Perso,Jean-Daniel Fischer,False,
Rechard Dark-Purple,Hebaran,False,
plugin-demo,szj,False,
Soft Material,sainnhe,False,
Z-Weather,zhu-hai-hua,False,
Smarty language with rapp style,toyosawa,False,
error-stack,jingjing,False,
Coding Theme Light,Rajeswaran,False,
Freek's Favorite Extensions for VS CODE,freekngdom,False,
Nunjucks markup snippets,StanVision,False,
Zinc Syntax Highlighting,Alex Zarudnyi,False,
OpenText Cloud Developer Tools - Foundation,OpenText,False,
JH_HTML Tools,JihedHmida,False,
Test_02,sumudunissanke,False,
vscode-itil-cgi,ww,False,
search-folder,Fortune Wang,False,
monokai-darker,bouscaa,False,
Orient Visual Studio Code Extension,yuboxie,False,
Developer for Primeton Mobile,普元信息,False,
wikilink4md,wangeleile,False,
MyTheme-Noctis,JFarrera,False,
pokemon-code-2,chungmancheng,False,
Shades Of Gravy,Mr. Icecream,False,
Exchange CHS Simbols,zszen,False,
GCN Database Support,Oracle Labs,True,
less_helper,less_helper,False,
ToDo Finder,CoderSyntax,False,
FalconCobaltZain,Bader Almutairi,False,
Santana,Luan Bitar,False,
GScript Tools,molai.dev,False,
Angular Material 13.3.3 Snippet,Shrikant,False,
Mountain,Mr Airport,False,
SICK AppSpace SDK,SICK AG,True,
Jupiter Electron Adapters,jupiter-electron,False,
ng_lrf,kevinlrf,False,
Radiance,byai,False,
Extension Pack,wangdong,False,
js console utils,yu,False,
react-typescript-snippets,Whitefox98,False,
Richa's Mocha Snippets,Richa Avasthi,False,
taro-snippets,hacker,False,
Arctic Fox,Icii,False,
remove-console,JohnJane,False,
Sort all css rules in css files,Web Disciple,False,
TS React Snippets,Shuyoou,False,
fy-extension,lgdong,False,
codecrumbs-vs-code,codecrumbs,False,
react-pack,prototyp,False,
language-a16,language-asm,False,
organic-green-theme,kostafey,False,
variable-asm,Szyfr,False,
Violet Ultima,Walnut,False,
CSS Class Finder,QUON,False,
Addition Theme,Frederik Bosch,False,
Feather Template,eayer,False,
Yin & Yang,AndyWarhell,False,
Snippets extension for Javascript and Typescript,Daniel Toro,False,
San Light,san,False,
yabai syntax highlighting,ibrahimfadel,False,
ExternalCommand,colinkaopu,False,
midnight blues,harshitkumar,False,
xndotjs,landun,False,
KDE Breeze Dark Kate,TopTickTom,False,
miojolu theme,Luiza Parente,False,
CUPL Syntax Highlighter,Ryan Pfeifer,False,
Anonymous Executor,Jared Longnecker,False,
css-helper-plugin,liucanbin,False,
helloWorld,synthes1s,False,
juliaTextMate,canelhasmateus,False,
One Dark Dank,dhonnabhain,False,
AppTree Mobile,AppTree,False,
RemoteCode,Cubos,False,
Tandem sync,tandemcode,False,
自动生成注释,chyhutu,False,
webpack-helper,wujinzhe,False,
code-jump,senlin,False,
Purple Blaze,FenixDragon,False,
Lua-Code-Generator,eway365,False,
auto-html2css,liwenchao,False,
RageUI V3 Code Snippets,Sarbatore,False,
cpp-code-template,dreamy-xay,False,
plurge,LucidOcean,False,
status-bar-tag,lzc,False,
blue-dark,Drakencord,False,
Soft Green & Blue vscode Theme,elin3t,False,
Zscaler IaC Scan,Zscaler,True,
聚合新闻,JohnnyCage,False,
C# Record Generator,Jonny Powell,False,
auto ls code,谢君,False,
angularX-snippets-shark,zhouhuikai,False,
sgui-helper,xuhong,False,
vscode-prototool,PilockHulmes,False,
dbkEnv,ragustin,False,
Ametista,Gabriel Souza,False,
vscode-tmp,adstep,False,
byte-base64-viewer,louzhedong,False,
quantum-entanglement,nathanjohnson320,False,
SP-Modeler,Цырков Георгий Александрович,False,
Snowmate,Snowmate,False,
Epic Roblox Snippets,Prooheckcp,False,
pyhgl-highlighter,jintaos2,False,
k2-javascript-broker-intellisense,K2,False,
It's a Syntax Theme,Jeremiah Rhoads Hall,False,
Erik Pastel,Erik Sundahl,False,
Blazes Abyss,RithikDev,False,
gcss,g,False,
tnpm,yize,False,
Quick open keep,Todd Rein,False,
YS Script Language,h34tn,False,
Catalyst-Solidity-Template,Sprytech,False,
vscode-carbon-theme,Max Andy,False,
BrowserConsoleTheme,DarkThemes,False,
restql-language,Iago Oliveira,False,
Tuya Smart Miniapp,Tuya Smart,False,
VectorScript,A&A Develop,False,
k-url,shangguorui,False,
JarvBlue,starkk,False,
C O S M I C,COSMICHORSE,False,
png2webp,LC_S,False,
json2nest,Firas Kudsy,False,
Metacode,Metacode Inc,False,
Kabir's Wordpress Pack,Dev Kabir,False,
WPILib Build+Deploy Command,wpilibcustomutils,False,
css-to-js,soradev4,False,
code-metry,code-metry-msit,False,
pythonEnvironment,Gautam Sagar Mallela,False,
rocket,wkaa,False,
Cargo Doc Open,chenyang,False,
expand tag for blade,hk dark,False,
Hyrule,geo,False,
Galaxy Theme,rainwhale,False,
seedoc,Aaric Han,False,
gd-snippet,guandata,False,
Demon Theme,ZhuDemon,False,
KFormat,ks-lint,False,
vscode-mir-language,try,False,
OpnSnippets,opn,False,
lizard-plugin,pddcode,False,
JS console helper,epochi,False,
Code is,Erick Galassi,False,
Issac,Issac,False,
SNMPTT,kveracosta,False,
EpiProjectGen,Thibaut lermytte,False,
ember,jgibson,False,
Jigx Builder,Jigx,True,
Trailing Words cze,Jachym Janousek,False,
Simple Path Converter,YukiSadohara,False,
spotfire-expressions,Ákos Szilágyi,False,
arphen-vscode-ext1,arphen,False,
UPG Code Generator for VS Code,GPT Labs,False,
Clean Architect Generator,Ho Si Luan,False,
Open External Editor,mabenan,False,
Cat,Charles Cat,False,
AL73-CPP-Pack,al73,False,
Virtual Bot ,Shibani Raikar,False,
cbd-tools,kam,False,
Oracle Guid Converter,Bojan,False,
Reshift Scanner,Reshift Security,False,
green-theme,flyyn2,False,
Angular Development Essentials Tools,Angela Fonseca,False,
添加到classpath,bao,False,
Numeric Macro,Nortina,False,
Dapeng Helper,Hoohaha,False,
GHD Python snippets,GHD,False,
TFS - Default Project Structure,TSF Vscode Publisher,False,
MD Verifier,Alexander Schumacher,False,
badboy,bad boy,False,
Code Faster Keymap,Leart Morina,False,
az-clean-code-js,Alan Lucas,False,
ZenCodingTheme,florianperrenet,False,
Tailwind Theme Config Intelligence,Joyful,False,
FlexHandlebar,Eric Wang,False,
Night Owl Theme,Kongkiat,False,
ZeppOS快捷编译-扩展-Zepp OS Dev Tools,fwz233,False,
Dark Lion,Henrique Balbino,False,
Code A Program,codeaprogram,False,
luaCreate,xhh,False,
Extension Pack,YNotPrimo,False,
SAV React Native,thuanict,False,
RedAlert IntelliSense,pzy,False,
Evening Sky Theme,Sun Spot,False,
CAST Highlight CloudReady Extension for Visual Studio Code,CAST Highlight,False,
CSS Snippets,CaimeoAI,False,
BMC Software TPL,BMC Software (Discovery Premier Support),False,
easyui-vue,easyui-vue,False,
patd-react-helper,PatSecFE,False,
jsdelivr,wonderful,False,
Qte Create Gatsby Component,Enzo Bomark,False,
front-end-snippets,Jeason,False,
ttml-formatter2,xuyuqi.arichy,False,
Intentional-Platform-VSCode-ExtensionPack,Intentional-Platform,False,
Dark Red Theme,Wzer Red Theme,False,
Dyslexia Autumn,Jonothan Hunt,False,
Gherkin Syntax Highlight and Formatter,korostylov,False,
Super Code : ReactJS,Krunal Shah,False,
Obigo Web Simulator - Linux OS,obigo,False,
node modules cleaner,leemove,False,
Prettier Fiori,Prettier Fiori,False,
BedWars Scripting Toolkit,Easy Games,True,
newest-gomod,Zip Oscar,False,
double-quotes-detector,Karim Frenn,False,
Omniverse Snippets,Captain Coding,False,
Toggle,orangeroad0922,False,
Kids Dev Studio,vskids,False,
Zee Laravel Extension Pack Extended,Buddhika,False,
luanslasla-theme,LuanThierry,False,
Weigl WEM | Script,Weigl Control LLC,False,
ESI to Markdown,inmation,False,
MASM Language Support,Zorby,False,
Cobalt_RC,rivasc,False,
Pylon Snippets,Sxpherr,False,
PM Java Pack,PM,False,
Lumen Snippets,LumenResearch,False,
Format Chinese Words In Revit IFC Files,Panpan,False,
Light Brown Leather,Ayman Sahyoun,False,
Afterglow,Yuuzuki,False,
mononoke,Fannar Freyr Kristinsson,False,
lain-theme,underz,False,
Vitki Theme,Nltruongvi,False,
Bell,xlianghang,False,
INIX,t-codespaces,False,
Azure ML Remote Web,sevillal,False,
Synapse X Tools,Locos,False,
Cool Theme,Aiki,False,
Extract literals,Viktor Staykov,False,
Test,bradluo,False,
ED Extension Pack: Minecraft,Elladorian Design,False,
ennBuilder,ENNFFT,False,
graphql-xtext-vscode,GraphQL-XText,False,
Militry Green,xynny,False,
ExtTLA,Changjian Zhang,False,
candy-xml-snippets,jasonziglar,False,
Next.js 13 snippets | TypeScript version,htmllessons_ru,True,
Agilesoft Dark Theme,Agilesoft-publisher,False,
AuthorizationTokenHelper,VitorYugulis,False,
Jungle Theme,Wiggie,False,
Ethical Identity VSCode Extension Pack,Ethical Identity,False,
ding-assist,ding-shiba,False,
Ozzy,ozzy,False,
Markdown Add Backquote,zealzhangz,False,
amberJS-Win,amber-link,False,
Willow Snippets,Unum UX,False,
micro-s,wyy,False,
AnotherKolor Dark,Danya D. Smith,False,
mypinktheme,Camila Penha,False,
TypescriptReact Snippets,jaksm,False,
gus-pack,gus,False,
Efficy Macro,veldars,False,
ShaderCompiler,luojc,False,
hlpsl,nonomoho,False,
Danny's Git Essentials,Danny McGee,False,
HamidTheDev Pro,HamidTheDev,False,
format-me,luchanso,False,
LuaTester,Romain Charbit,False,
vscode-sql-syntax-checker,kazukibie,False,
rpx2vw,zhengyuyang,False,
robot-tab,zxlender,False,
PlexTech's algox,WarPlexTech,False,
Clover Dark,NailsonDev,False,
Get HTML Preview,Nocteria,False,
Onetap V3 Crack JS API Snippets,KiraDev,False,
multi-language,bobo320,False,
vscode-darcula,eoogo,False,
Dark+(Orange),ncarrezdev,False,
vscode-reminder,JeanwayHwang,False,
ED Extension Pack: C#,Elladorian Design,False,
Twilight,Stefan Leung,False,
Night Blue Enhancement,minhduccao,False,
MyZoom,Pedro Tavares,False,
lingovscode,ilayalmalem,False,
flutter cbp,mmdd,False,
ChocolateBanana,yoolyool12,False,
DLTookit,Droid Labs LLC,False,
React Bundle,baqardo,False,
hashira-dark-theme,Aziz Dhaouadi,False,
mxml,simter,False,
SQL to Terminal,RaphaelDev,False,
PR VS Theme Dark,Prahlad Inala,False,
2sxc,2sic,False,
rust-gold-bordered,CodeArcher,False,
Instant Run for Flutter,凉介,False,
Copperfield script snippets,ISI Markets,False,
music-lyrics,ljahier,False,
