iter	Passed	Remaining
399	17854	26782
400	17911	26756
401	17972	26735
402	18015	26687
403	18046	26622
404	18073	26552
405	18104	26488
406	18148	26442
407	18181	26381
408	18239	26356
409	18353	26411
410	18436	26421
411	18514	26423
412	18626	26474
413	18666	26421
414	18698	26357
415	18731	26295
416	18783	26260
417	18833	26223
418	18869	26164
419	18901	26102
420	18932	26037
421	18962	25971
422	19002	25920
423	19046	25875
424	19078	25811
425	19109	25748
426	19142	25688
427	19170	25620
428	19202	25558
429	19242	25507
430	19327	25515
431	19377	25477
432	19433	25447
433	19491	25420
434	19532	25369
435	19566	25310
436	19606	25260
437	19645	25207
438	19676	25145
439	19707	25082
440	19741	25024
441	19773	24963
442	19801	24896
443	19833	24837
444	19871	24783
445	19901	24720
446	19932	24659
447	19977	24615
448	20046	24600
449	20086	24549
450	20124	24497
451	20159	24441
452	20190	24380
453	20219	24316
454	20253	24260
455	20324	24247
456	20385	24221
457	20430	24178
458	20463	24118
459	20495	24060
460	20534	24009
461	20566	23950
462	20603	23896
463	20636	23838
464	20668	23779
465	20704	23725
466	20739	23670
467	20774	23615
468	20807	23558
469	20835	23495
470	20864	23433
471	20894	23373
472	20926	23315
473	20961	23260
474	20989	23199
475	21020	23139
476	21076	23108
477	21146	23093
478	21183	23041
479	21244	23015
480	21322	23006
481	21353	22948
482	21383	22888
483	21426	22843
484	21465	22793
485	21504	22743
486	21541	22691
487	21579	22640
488	21615	22588
489	21653	22537
490	21693	22488
491	21730	22437
492	21767	22385
493	21797	22326
494	21834	22275
495	21869	22221
496	21911	22176
497	21949	22125
498	21993	22081
499	22027	22027
500	22061	21972
501	22097	21921
502	22132	21868
503	22167	21815
504	22201	21761
505	22260	21732
506	22366	21748
507	22426	21720
508	22489	21694
509	22538	21654
510	22591	21618
511	22645	21583
512	22681	21532
513	22716	21478
514	22752	21426
515	22782	21369
516	22871	21367
517	22933	21339
518	22964	21283
519	22997	21228
520	23035	21178
521	23081	21135
522	23120	21086
523	23175	21052
524	23241	21027
525	23372	21061
526	23404	21006
527	23432	20946
528	23465	20892
529	23526	20862
530	23582	20828
531	23631	20788
532	23663	20733
533	23693	20676
534	23729	20624
535	23758	20566
536	23798	20519
537	23829	20463
538	23857	20404
539	23883	20345
540	23941	20312
541	24089	20355
542	24152	20327
543	24192	20278
544	24233	20231
545	24267	20178
546	24312	20134
547	24342	20078
548	24373	20022
549	24401	19964
550	24433	19910
551	24464	19854
552	24492	19798
553	24521	19741
554	24549	19683
555	24576	19625
556	24607	19571
557	24634	19513
558	24665	19458
559	24697	19404
560	24727	19350
561	24758	19295
562	24788	19240
563	24822	19188
564	24851	19133
565	24879	19076
566	24906	19020
567	24933	18963
568	24961	18907
569	24990	18852
570	25020	18798
571	25046	18741
572	25076	18687
573	25112	18637
574	25139	18581
575	25169	18527
576	25197	18472
577	25227	18418
578	25259	18366
579	25310	18328
580	25346	18279
581	25378	18227
582	25408	18173
583	25437	18119
584	25461	18062
585	25487	18006
586	25522	17957
587	25548	17901
588	25575	17846
589	25613	17799
590	25641	17744
591	25671	17692
592	25699	17638
593	25726	17584
594	25756	17531
595	25784	17478
596	25811	17423
597	25841	17371
598	25872	17320
599	25911	17274
600	25944	17224
601	25974	17172
602	26004	17121
603	26039	17072
604	26079	17027
605	26130	16989
606	26161	16938
607	26191	16886
608	26220	16834
609	26260	16789
610	26302	16745
611	26328	16691
612	26361	16642
613	26392	16591
614	26421	16540
615	26447	16486
616	26474	16433
617	26502	16381
618	26528	16328
619	26555	16276
620	26582	16223
621	26610	16171
622	26638	16120
623	26668	16069
624	26694	16016
625	26722	15965
626	26749	15913
627	26779	15862
628	26815	15816
629	26842	15764
630	26871	15713
631	26899	15663
632	26928	15612
633	26957	15562
634	26986	15511
635	27012	15460
636	27041	15409
637	27071	15360
638	27103	15312
639	27133	15262
640	27160	15211
641	27192	15163
642	27222	15113
643	27249	15063
644	27282	15015
645	27316	14969
646	27342	14918
647	27371	14868
648	27396	14816
649	27421	14765
650	27448	14715
651	27473	14663
652	27502	14614
653	27527	14563
654	27555	14513
655	27584	14465
656	27618	14418
657	27646	14369
658	27671	14318
659	27699	14269
660	27726	14219
661	27753	14170
662	27778	14119
663	27805	14070
664	27833	14021
665	27858	13971
666	27885	13921
667	27914	13873
668	27940	13823
