iter	Logloss
0	0.6755494823
1	0.660472284
2	0.6437751423
3	0.6308599089
4	0.6196661599
5	0.6105391405
6	0.6019229951
7	0.5938671556
8	0.5866356762
9	0.5799668213
10	0.5734794757
11	0.5667782232
12	0.5624332801
13	0.5573605779
14	0.5532871105
15	0.5492454859
16	0.5457297259
17	0.5423033015
18	0.5364118493
19	0.5326269944
20	0.5267759354
21	0.5214563423
22	0.5170154831
23	0.5130146424
24	0.506863118
25	0.503109596
26	0.499285616
27	0.4959989993
28	0.493531773
29	0.4915322658
30	0.4894719012
31	0.4860173395
32	0.4838587622
33	0.4819377899
34	0.4797937177
35	0.4770140721
36	0.4755420843
37	0.4736487237
38	0.4721265882
39	0.4698970596
40	0.4666594468
41	0.4632351003
42	0.4606562004
43	0.4589964857
44	0.4579954227
45	0.4568229338
46	0.4555125362
47	0.4539314373
48	0.4523851684
49	0.4511396226
50	0.4496043379
51	0.4478002709
52	0.4444432684
53	0.4414022788
54	0.4392858934
55	0.4377135178
56	0.4367191695
57	0.436137125
58	0.4346592633
59	0.4334428898
60	0.4320138224
61	0.4311655144
62	0.4290712677
63	0.4278216066
64	0.4267733815
65	0.4242224661
66	0.4229734987
67	0.4219975433
68	0.4207756387
69	0.4200943583
70	0.4191311869
71	0.4175526567
72	0.4159859035
73	0.4146348054
74	0.4119356572
75	0.4101303992
76	0.4093601815
77	0.4082461606
78	0.4076208983
79	0.4070017649
80	0.406159314
81	0.4050816383
82	0.4018709398
83	0.4008842368
84	0.3997791824
85	0.3991557105
86	0.3983561654
87	0.3969587042
88	0.3957953157
89	0.395097401
90	0.3932718818
91	0.3923736939
92	0.3914108415
93	0.3896890615
94	0.3888643801
95	0.3879781146
96	0.3861722266
97	0.3854979263
98	0.3844575119
99	0.3836581822
100	0.3829118513
101	0.3824815992
102	0.3801857322
103	0.3785922994
104	0.3761352468
105	0.3753726854
106	0.3743310125
107	0.3731918946
108	0.3724367129
109	0.3718635677
110	0.3712971918
111	0.3705241717
